"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"544","XA",1,"L","N"
"545","01",2,"L","O"
"546","01",3,"L","N"
"547","CB",1,"L","N"
"548","XA",1,"L","N"
"549","XA",2,"L","N"
"550","XA",3,"L","O"
"551","01",5,"M","O"
"552","XB",5,"M","O"
"553","CY",1,"L","N"
"554","XB",5,"M","O"
"555","JD",6,"M","N"
"556","XA",3,"L","O"
"557","XA",3,"L","O"
"558","DP",3,"L","O"
"559","XA",1,"L","N"
"560","XB",4,"M","N"
"561","XB",5,"M","O"
"562","01",3,"L","N"
"563","DP",3,"L","O"
"564","XA",1,"L","N"
"565","CY",1,"L","N"
"566","XA",1,"L","N"
"567","01",6,"M","O"
"568","XA",1,"L","N"
"569","XA",1,"L","N"
"570","FH",6,"M","N"
"571","XB",5,"M","O"
"572","XA",3,"L","O"
"573","CY",1,"L","N"
"574","JD",6,"M","N"
"575","IB",4,"M","N"
"576","CB",2,"L","O"
"577","CB",1,"L","N"
"578","01",6,"M","O"
"579","XB",5,"M","O"
"580","IB",3,"M","N"
"581","XB",5,"M","O"
"582","XB",4,"M","N"
"583","XA",1,"L","N"
"584","DP",3,"L","N"
"585","XA",3,"L","O"
"586","PF",3,"M","N"
"587","CY",1,"L","N"
"588","XB",4,"M","N"
"589","FE",3,"M","N"
"590","XA",2,"L","N"
"591","XA",1,"L","N"
"592","01",6,"M","O"
"593","XB",4,"M","N"
"594","JD",6,"M","N"
"595","IB",5,"M","N"
"596","CB",1,"L","N"
"597","IB",3,"M","N"
"599","CB",2,"L","O"
"600","XB",4,"M","N"
"601","DP",3,"L","N"
"602","XB",4,"M","N"
"603","XA",3,"L","O"
"604","CB",1,"L","N"
"605","PG",1,"L","N"
"606","XA",1,"L","N"
"607","XB",4,"M","N"
"608","FH",4,"M","N"
"609","XA",2,"L","N"
"610","XB",5,"M","O"
"611","XA",1,"L","N"
"612","PF",2,"M","N"
"613","FE",4,"M","N"
"614","XB",4,"M","N"
"615","XB",5,"M","O"
"617","CB",1,"L","N"
"618","XA",1,"L","N"
"619","XA",1,"L","N"
"620","DP",3,"L","O"
"621","CB",2,"L","O"
"622","XA",3,"L","O"
"623","XA",3,"L","O"
"624","XB",5,"M","O"
"625","XA",1,"L","N"
"626","PD",2,"L","N"
"627","XA",1,"L","N"
"628","XA",3,"L","N"
"629","CY",1,"L","N"
"630","FN",5,"M","O"
"631","CB",2,"L","O"
"632","PF",4,"M","N"
"633","CY",1,"L","N"
"634","XB",5,"M","N"
"635","CB",2,"L","O"
"636","XB",4,"M","N"
"637","CB",1,"L","N"
"638","PL",5,"M","O"
"639","XA",1,"L","N"
"640","CY",1,"L","N"
"641","IB",2,"M","N"
"642","JD",6,"M","O"
"644","XA",1,"L","N"
"645","FI",3,"M","N"
"646","XA",1,"L","N"
"647","FE",3,"M","N"
"648","XB",4,"M","N"
"649","DP",3,"L","O"
"650","XB",5,"M","O"
"651","XA",1,"L","N"
"652","XA",1,"L","N"
"653","PK",2,"L","N"
"654","XB",4,"M","N"
"656","XA",3,"L","O"
"657","XB",4,"M","N"
"658","XA",2,"L","N"
"659","CD",2,"L","O"
"660","XB",5,"M","O"
"661","CB",2,"L","O"
"662","XB",4,"M","N"
"663","XA",1,"L","N"
"664","XB",4,"M","N"
"665","XB",4,"M","N"
"666","CB",2,"L","O"
"667","XA",3,"L","O"
"668","01",2,"L","O"
"669","DP",3,"L","N"
"670","CB",2,"L","O"
"671","CB",1,"L","N"
"672","XA",2,"L","N"
"673","XA",3,"L","O"
"674","IB",3,"M","N"
"675","CB",1,"L","N"
"676","XB",4,"M","N"
"678","XA",2,"L","N"
"679","XA",3,"L","O"
"680","IB",4,"M","N"
"681","XA",1,"L","N"
"682","XA",1,"L","N"
"683","CY",1,"L","N"
"684","XA",2,"L","N"
"685","XA",2,"L","N"
"686","XA",3,"L","O"
"687","CY",1,"L","N"
"688","FH",3,"M","N"
"690","XA",1,"L","N"
"691","JD",6,"M","N"
"692","XB",5,"M","N"
"693","CB",2,"L","O"
"694","CY",1,"L","N"
"695","XA",3,"L","O"
"696","XA",1,"L","N"
"697","01",6,"M","O"
"698","XA",3,"L","O"
"699","CB",2,"L","N"
"700","XB",5,"M","N"
"701","PF",3,"M","N"
"702","XA",1,"L","N"
"703","XA",1,"L","N"
"705","01",2,"L","N"
"706","XA",1,"L","N"
"707","XA",2,"L","N"
"708","XA",3,"L","O"
"709","XB",5,"M","O"
"710","01",4,"M","O"
"711","UF",5,"M","N"
"712","CB",2,"L","O"
"713","CB",1,"L","N"
"714","XA",1,"L","N"
"715","XB",5,"M","O"
"716","XA",1,"L","N"
"717","01",6,"M","N"
"718","CB",1,"L","N"
"719","XB",5,"M","N"
"720","CB",2,"L","O"
"721","CB",1,"L","N"
"722","XA",3,"L","O"
"723","XA",1,"L","N"
"724","XB",4,"M","N"
"725","XA",2,"L","N"
"726","PF",4,"M","N"
"727","XA",3,"L","O"
"728","01",3,"L","N"
"729","XA",2,"L","N"
"730","FN",5,"M","O"
"731","XA",1,"L","N"
"732","CY",1,"L","N"
"733","XA",3,"L","O"
"734","XA",3,"L","N"
"735","XB",5,"M","O"
"736","XB",4,"M","N"
"737","FH",3,"M","N"
"738","CB",1,"L","N"
"739","XA",3,"L","O"
"740","FH",5,"M","N"
"741","XB",5,"M","O"
"742","XA",1,"L","N"
"743","CB",2,"L","O"
"744","XA",2,"L","N"
"745","XA",1,"L","N"
"746","XA",2,"L","N"
"747","XA",1,"L","N"
"748","DP",3,"L","O"
"749","XA",1,"L","N"
"750","XA",1,"L","N"
"751","XB",4,"M","N"
"752","XB",4,"M","N"
"753","CY",1,"L","N"
"754","XA",1,"L","N"
"755","XA",3,"L","O"
"756","01",6,"M","O"
"757","DP",3,"L","O"
"758","FI",3,"M","N"
"759","XB",4,"M","N"
"760","XA",1,"L","N"
"761","01",2,"L","O"
"762","XA",2,"L","N"
"763","XA",1,"L","N"
"764","XB",5,"M","O"
"765","XA",3,"L","N"
"766","IB",3,"M","N"
"767","CY",1,"L","N"
"768","XA",2,"L","N"
"769","XA",1,"L","N"
"770","XB",5,"M","O"
"771","01",3,"L","O"
"772","XA",2,"L","N"
"773","CB",2,"L","N"
"774","XB",4,"M","N"
"775","DP",3,"L","O"
"776","XB",5,"M","O"
"777","XB",4,"M","N"
"778","XB",4,"M","N"
"779","XB",4,"M","N"
"780","PF",2,"M","N"
"781","PM",3,"L","N"
"782","CB",1,"L","N"
"783","01",3,"L","O"
"784","CB",2,"L","O"
"785","XB",5,"M","O"
"786","XB",4,"M","N"
"787","XA",2,"L","N"
"788","01",4,"M","N"
"790","XA",2,"L","N"
"791","XA",2,"L","N"
"792","XB",5,"M","N"
"793","XA",2,"L","N"
"794","FI",1,"M","N"
"795","JD",6,"M","N"
"796","XB",5,"M","O"
"797","XA",1,"L","N"
"798","XA",1,"L","N"
"799","XA",2,"L","N"
"800","01",3,"L","N"
"801","FI",3,"M","N"
"802","XA",1,"L","N"
"803","CY",1,"L","N"
"804","XA",1,"L","N"
"805","01",2,"L","O"
"806","CB",2,"L","O"
"807","CB",2,"L","O"
"808","XA",3,"L","O"
"809","XA",1,"L","N"
"810","XA",1,"L","N"
"812","JD",6,"M","N"
"813","XA",1,"L","N"
"814","DP",3,"L","N"
"815","IB",2,"M","N"
"816","FN",4,"M","N"
"817","XA",1,"L","N"
"818","XB",4,"M","N"
"819","CD",2,"L","O"
"820","XA",1,"L","N"
"821","DP",3,"L","O"
"822","XA",1,"L","N"
"823","FH",6,"M","N"
"824","XB",5,"M","N"
"825","01",6,"M","N"
"826","XB",4,"M","N"
"827","XA",2,"L","N"
"828","FH",3,"M","N"
"829","XB",5,"M","O"
"830","CB",2,"L","O"
"831","DP",3,"L","N"
"832","FH",4,"M","N"
"833","PG",1,"L","N"
"834","XA",2,"L","N"
"835","DP",3,"L","O"
"836","XA",1,"L","N"
"838","CB",2,"L","O"
"839","FH",4,"M","N"
"840","DP",3,"L","N"
"841","CB",2,"L","O"
"842","XB",5,"M","O"
"844","XA",1,"L","N"
"845","XA",3,"L","O"
"846","CB",1,"L","N"
"847","XB",4,"M","N"
"848","CB",1,"L","N"
"849","FN",4,"M","N"
"850","XA",1,"L","N"
"851","XA",1,"L","N"
"853","DP",3,"L","N"
"854","XA",1,"L","N"
"855","XA",1,"L","N"
"856","KG",6,"M","N"
"857","CB",1,"L","N"
"858","JC",6,"M","O"
"859","JC",6,"M","O"
"860","01",6,"M","N"
"861","XA",3,"L","N"
"862","XA",3,"L","O"
"863","XB",4,"M","N"
"864","CB",2,"L","N"
"866","XB",4,"M","N"
"867","XA",1,"L","N"
"868","01",3,"L","O"
"869","CY",1,"L","N"
"870","XA",1,"L","N"
"871","XA",2,"L","N"
"872","XA",1,"L","N"
"873","01",3,"L","O"
"874","XB",4,"M","N"
"875","XA",2,"L","N"
"876","XA",1,"L","N"
"877","CB",1,"L","N"
"878","CB",2,"L","O"
"879","PM",1,"L","N"
